student_idx,item_idx,correct,t,delta_t
0,4,1,0,2
0,3,1,1,3
0,1,1,2,3
0,0,1,3,2
0,3,0,4,1
0,3,0,5,2
0,0,1,6,1
0,4,0,7,1
0,3,0,8,2
0,3,0,9,2
0,4,0,10,2
0,3,0,11,3
0,1,0,12,1
0,3,0,13,1
0,4,0,14,1
0,4,1,15,2
0,0,1,16,1
0,1,1,17,2
0,4,0,18,2
0,1,1,19,2
0,4,0,20,2
0,2,0,21,2
0,1,1,22,2
0,1,0,23,2
0,3,0,24,1
0,1,0,25,3
0,1,1,26,1
0,0,0,27,1
0,4,0,28,3
0,4,0,29,2
0,1,1,30,1
0,1,1,31,2
0,3,0,32,1
0,3,1,33,3
0,4,0,34,3
0,4,1,35,2
0,0,1,36,40
0,0,0,37,3
0,0,0,38,40
0,0,1,39,1
1,0,1,0,1
1,0,0,1,1
1,1,0,2,1
1,1,0,3,1
1,2,1,4,1
1,1,0,5,2
1,0,0,6,2
1,1,0,7,1
1,2,1,8,3
1,2,1,9,2
1,3,1,10,3
1,4,1,11,2
1,2,1,12,2
1,3,1,13,3
1,3,1,14,2
1,1,1,15,1
1,1,1,16,3
1,0,1,17,1
1,2,1,18,1
1,3,1,19,3
1,3,1,20,3
1,0,1,21,2
1,1,0,22,3
1,0,0,23,3
1,1,1,24,40
1,1,1,25,3
1,0,0,26,1
1,3,0,27,3
1,0,0,28,1
1,3,0,29,3
1,4,1,30,1
1,3,0,31,2
1,3,1,32,1
1,1,0,33,40
1,2,1,34,2
1,0,0,35,3
1,1,1,36,3
1,0,1,37,3
1,1,0,38,3
1,1,0,39,1
2,1,1,0,1
2,3,0,1,1
2,1,1,2,3
2,3,1,3,1
2,4,1,4,2
2,2,1,5,3
2,0,0,6,3
2,3,1,7,1
2,2,0,8,2
2,0,1,9,3
2,1,0,10,1
2,1,1,11,1
2,3,0,12,2
2,3,1,13,1
2,4,0,14,1
2,4,0,15,3
2,4,0,16,3
2,3,1,17,3
2,1,1,18,1
2,1,1,19,3
2,4,0,20,3
2,1,1,21,1
2,2,0,22,3
2,2,0,23,3
2,1,0,24,2
2,1,0,25,3
2,2,0,26,1
2,0,1,27,1
2,3,1,28,3
2,0,0,29,3
2,4,0,30,1
2,0,1,31,40
2,4,1,32,1
2,2,1,33,1
2,1,1,34,2
2,0,0,35,3
2,3,0,36,1
2,2,1,37,2
2,3,1,38,1
2,2,1,39,3
3,1,0,0,3
3,3,1,1,2
3,2,1,2,2
3,1,1,3,2
3,1,0,4,1
3,2,1,5,3
3,1,0,6,1
3,2,0,7,40
3,1,1,8,1
3,4,0,9,2
3,0,1,10,2
3,4,1,11,2
3,2,1,12,1
3,2,1,13,1
3,2,1,14,40
3,2,1,15,2
3,3,1,16,3
3,1,1,17,3
3,3,1,18,2
3,1,1,19,2
3,0,1,20,2
3,3,0,21,1
