student_idx,item_idx,correct,t,delta_t
0,1,0,0,2
0,0,0,1,2
0,1,0,2,1
0,2,1,3,3
0,2,1,4,2
0,3,1,5,3
0,4,1,6,2
0,2,0,7,2
0,3,1,8,3
0,3,1,9,2
0,1,1,10,1
0,1,1,11,3
0,0,1,12,1
0,2,1,13,1
0,3,1,14,3
0,3,1,15,3
0,0,1,16,2
0,1,0,17,3
0,0,0,18,3
0,1,0,19,40
0,1,1,20,3
0,0,0,21,1
0,3,0,22,3
0,0,0,23,1
0,3,0,24,3
0,4,1,25,1
0,3,0,26,2
0,3,1,27,1
0,1,0,28,40
0,2,0,29,2
0,0,0,30,3
0,1,1,31,3
0,0,1,32,3
0,1,0,33,3
0,1,0,34,1
0,0,0,35,1
0,4,1,36,2
0,2,0,37,3
0,0,1,38,1
0,0,0,39,1
1,3,0,0,1
1,4,0,1,1
1,4,0,2,3
1,4,0,3,3
1,3,1,4,3
1,1,1,5,1
1,1,1,6,3
1,4,0,7,3
1,1,0,8,1
1,2,0,9,3
1,2,0,10,3
1,1,0,11,2
1,1,0,12,3
1,2,0,13,1
1,0,1,14,1
1,3,1,15,3
1,0,0,16,3
1,4,0,17,1
1,0,1,18,40
1,4,1,19,1
1,2,1,20,1
1,1,1,21,2
1,0,0,22,3
1,3,0,23,1
1,2,0,24,2
1,3,1,25,1
1,2,0,26,3
1,1,1,27,3
1,2,0,28,3
1,1,0,29,3
1,2,0,30,40
1,4,0,31,3
1,4,0,32,2
1,1,1,33,2
1,3,0,34,1
1,2,0,35,2
1,1,0,36,2
1,4,0,37,2
1,1,1,38,2
1,1,1,39,3
2,4,0,0,1
2,3,0,1,3
2,1,0,2,2
2,1,1,3,3
2,4,1,4,2
2,1,1,5,2
2,4,1,6,1
2,4,1,7,40
2,4,1,8,3
2,2,0,9,1
2,0,0,10,2
2,0,0,11,3
2,2,0,12,2
2,4,0,13,1
2,0,1,14,2
2,3,1,15,1
2,4,0,16,1
2,0,0,17,3
2,4,0,18,3
2,3,1,19,3
2,3,0,20,1
2,0,0,21,2
2,2,1,22,1
2,1,1,23,2
2,0,1,24,2
2,4,0,25,3
2,3,0,26,2
2,0,0,27,1
2,0,1,28,3
2,1,0,29,3
2,1,1,30,1
2,4,0,31,2
2,0,1,32,2
2,0,1,33,3
2,3,0,34,2
2,2,0,35,3
2,3,0,36,1
2,1,1,37,1
2,1,1,38,2
2,3,0,39,2
3,1,0,0,1
3,0,0,1,2
3,2,0,2,2
3,2,0,3,1
3,4,0,4,2
3,2,0,5,2
3,3,0,6,3
3,2,1,7,2
3,1,0,8,2
3,3,0,9,3
3,4,1,10,2
3,1,1,11,1
3,4,0,12,3
3,0,1,13,3
3,0,0,14,3
3,2,1,15,3
3,0,1,16,3
3,3,0,17,1
3,1,0,18,40
3,2,0,19,1
3,1,1,20,2
3,0,1,21,40
3,1,1,22,2
3,2,1,23,3
3,1,1,24,3
3,3,1,25,2
3,3,1,26,2
3,4,1,27,2
3,1,0,28,1
3,3,1,29,2
3,3,0,30,2
3,4,1,31,1
3,4,0,32,3
3,1,0,33,40
3,1,0,34,40
3,3,0,35,3
3,2,1,36,2
3,4,0,37,2
3,2,1,38,1
3,4,0,39,1
4,4,1,0,2
4,4,0,1,3
4,1,0,2,2
4,3,1,3,3
4,0,1,4,1
4,3,1,5,3
4,0,1,6,1
4,0,1,7,2
4,0,1,8,3
4,2,1,9,3
4,0,0,10,2
4,4,1,11,3
4,1,1,12,3
4,0,1,13,1
4,0,1,14,2
4,1,0,15,2
4,3,1,16,3
4,3,0,17,1
4,2,0,18,3
4,3,0,19,40
4,1,0,20,1
4,4,0,21,3
4,3,0,22,40
4,0,0,23,3
4,1,1,24,3
4,1,1,25,40
4,4,0,26,1
4,3,1,27,3
4,3,0,28,1
4,0,0,29,40
4,0,0,30,3
4,0,0,31,2
4,2,1,32,1
4,0,0,33,3
4,4,1,34,3
4,2,0,35,2
4,0,0,36,1
4,2,0,37,1
4,0,1,38,1
4,0,0,39,40
5,0,1,0,2
5,0,1,1,2
5,1,0,2,1
5,3,1,3,40
5,0,0,4,3
5,0,1,5,1
5,2,0,6,2
5,1,1,7,3
5,4,0,8,2
5,1,0,9,3
5,2,1,10,3
5,0,1,11,1
5,0,1,12,2
5,0,1,13,3
5,0,1,14,1
5,1,0,15,2
5,4,0,16,1
5,2,0,17,3
5,4,0,18,3
5,0,1,19,2
5,3,1,20,2
5,3,1,21,3
5,3,1,22,2
5,3,1,23,2
5,2,0,24,3
5,4,0,25,3
5,2,0,26,1
5,0,1,27,2
5,0,0,28,40
5,3,1,29,1
5,4,0,30,2
5,4,1,31,1
5,4,1,32,2
5,2,1,33,3
5,1,0,34,3
5,4,0,35,1
