epoch,train_loss,val_auc,val_acc,val_n
1,0.6841812419891358,0.7116548012148391,0.605625,1600
2,0.666478967666626,0.714525897105026,0.605625,1600
3,0.642264096736908,0.7141971643941586,0.645625,1600
4,0.6109811067581177,0.7151980819018742,0.649375,1600
5,0.5851654887199402,0.7158473698929901,0.66125,1600
6,0.569247100353241,0.7157525116978144,0.6575,1600
7,0.5580005764961242,0.7169300617068914,0.66125,1600
8,0.5482733702659607,0.717605517475987,0.658125,1600
9,0.5394877374172211,0.7167485227471587,0.659375,1600
10,0.531395502090454,0.7163314737856107,0.6625,1600
11,0.5244650983810425,0.714630568216944,0.656875,1600
12,0.518801041841507,0.7131226500108759,0.654375,1600
13,0.513808649778366,0.7128478883420915,0.65625,1600
14,0.5097689473628998,0.7119287451405619,0.653125,1600
15,0.506430150270462,0.71099978902229,0.658125,1600
16,0.5035448944568635,0.7100888232513791,0.649375,1600
17,0.5011060774326325,0.7087902472691471,0.65125,1600
18,0.4992227399349213,0.7081540431670207,0.654375,1600
19,0.49760966062545775,0.7073264871884195,0.660625,1600
20,0.49579235196113586,0.7061669275267035,0.654375,1600
