epoch,train_loss,val_auc,val_acc,val_n
1,0.6826283001899719,0.7118559660080565,0.605625,1600
2,0.6661598467826844,0.7132894695954952,0.605625,1600
3,0.6421498370170593,0.7135691377226511,0.634375,1600
4,0.6103050208091736,0.7124700910475125,0.64875,1600
5,0.5839374876022339,0.7131831629974535,0.6625,1600
6,0.56700026512146,0.7133009179983614,0.651875,1600
7,0.5543201351165772,0.7143639839787779,0.653125,1600
8,0.5433907198905945,0.7128675141755759,0.655625,1600
9,0.533117071390152,0.7116458060411587,0.65,1600
10,0.5244239926338196,0.7102940767599057,0.6525,1600
11,0.5165672290325165,0.7090535605350656,0.64625,1600
12,0.5102144336700439,0.7076830231633899,0.646875,1600
13,0.5051287221908569,0.7057482430790317,0.64875,1600
14,0.5007799935340881,0.705740065648413,0.64625,1600
15,0.49729257702827456,0.7046197576536661,0.645625,1600
16,0.4947113072872162,0.7033277236159291,0.649375,1600
17,0.49239044427871703,0.701414204851179,0.650625,1600
18,0.4907237827777863,0.7014583629765194,0.6525,1600
19,0.48908853173255923,0.6999880609512968,0.655,1600
20,0.48800907969474794,0.6995824603926147,0.65375,1600
