epoch,train_loss,val_loss,val_auc,val_acc,val_n
1,0.6572888113558293,0.6355628311634064,0.6728840503979073,0.6425,1600
2,0.6342897068709135,0.6348372116684914,0.6815020862308762,0.6425,1600
3,0.6331077348440886,0.6345106959342957,0.680726952397942,0.6425,1600
4,0.6323896080255509,0.6344075530767441,0.6801002148588894,0.64625,1600
5,0.6319049742072821,0.6346699088811875,0.6787796457117419,0.638125,1600
6,0.6315451193600893,0.6346494570374489,0.678778856369753,0.6475,1600
7,0.631134819984436,0.6347908362746238,0.678188428562182,0.645625,1600
8,0.6308328051120042,0.6348907992243766,0.6787551761100912,0.64625,1600
9,0.6302549110725522,0.6351950958371162,0.6777542904683796,0.645,1600
10,0.6301529977470637,0.6353556290268898,0.6763697846201449,0.65125,1600
11,0.6299266500398517,0.6357589453458786,0.6764155664554914,0.64875,1600
12,0.6298441575840116,0.6366787806153298,0.6742543480903449,0.645,1600
13,0.6289369441568852,0.6380131334066391,0.6708909618763607,0.63625,1600
14,0.6281354209408164,0.6376060426235199,0.6719526268512043,0.635625,1600
15,0.6273046003654599,0.6400470390915871,0.6654334513662721,0.624375,1600
16,0.6264965636655688,0.6403804957866669,0.668113267418015,0.633125,1600
17,0.6260109273716807,0.639181986451149,0.6704749786482992,0.62625,1600
18,0.6246888060122728,0.6395717218518258,0.6715532198049062,0.625,1600
19,0.6245579499751329,0.6427243545651435,0.6675638853938579,0.629375,1600
20,0.6234566828235983,0.6436668246984482,0.6677249111595591,0.62375,1600
